City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1439,Yenangyaung,MM,20.4667,94.8833,83.21,46,98,2.82,overcast clouds
1440,Ismailia,EG,30.6043,32.2723,61.61,60,95,4.07,overcast clouds
1441,Nicolas Bravo,MX,18.45,-88.9167,67.98,99,7,2.17,clear sky
1442,Lagos,NG,6.5833,3.75,79.12,91,100,1.66,overcast clouds
1443,Pamanukan,ID,-6.2842,107.8106,85.01,67,100,14.25,heavy intensity rain
1444,San Bartolome,ES,27.9248,-15.5733,54.32,65,75,9.22,broken clouds
1445,Pangoa,PE,-12.1167,-73.0,68.7,99,85,1.68,moderate rain
1446,Oshnaviyeh,IR,37.0397,45.0983,32.25,36,16,2.08,few clouds
1447,Central Point,US,42.376,-122.9164,44.01,100,90,3.44,mist
1448,Eresos,GR,39.1667,25.9333,63.91,82,100,30.91,overcast clouds
1449,Koumac,NC,-20.5667,164.2833,80.82,73,91,3.98,overcast clouds
1450,Krasyliv,UA,49.6519,26.9725,22.15,87,55,5.44,broken clouds
1451,Chiang Khong,TH,20.2613,100.4046,75.63,34,14,0.96,few clouds
1452,El Vigia,VE,8.6219,-71.6506,74.88,88,84,2.68,broken clouds
1453,Hoquiam,US,46.9809,-123.8893,42.78,70,40,12.66,scattered clouds
1454,Bahia De Caraquez,EC,-0.6,-80.4167,75.38,81,100,7.31,overcast clouds
1455,Baghdad,IQ,33.3406,44.4009,49.91,50,45,6.91,scattered clouds
1456,Liepaja,LV,56.5419,21.0367,35.65,100,90,10.36,snow
1457,Tooele,US,40.5308,-112.2983,45.97,100,1,4.61,clear sky
1458,Luang Prabang,LA,19.8856,102.1347,73.36,33,0,4.61,clear sky
1459,Uvarovo,RU,51.9849,42.2615,35.19,99,100,8.55,light snow
1460,Gewane,ET,10.1664,40.6453,77.85,37,0,7.63,clear sky
1461,Viernheim,DE,49.5417,8.5786,38.35,94,100,4.0,overcast clouds
1462,Mpophomeni,ZA,-29.5682,30.1862,58.3,86,100,1.39,overcast clouds
1463,Baracoa,CU,20.3467,-74.4958,76.32,87,81,10.63,broken clouds
1464,Mukhen,RU,48.1,136.1,4.03,82,76,6.76,broken clouds
1465,Tilichiki,RU,60.4667,166.1,17.24,86,86,4.32,overcast clouds
1466,Cansancao,BR,-10.6672,-39.4992,70.66,90,98,3.87,overcast clouds
1467,Arefu,RO,45.3333,24.6,28.49,99,100,1.57,light snow
1468,Savannah Bight,HN,16.45,-85.85,80.01,70,26,16.71,scattered clouds
1469,Emba,KZ,48.8264,58.1442,33.71,85,99,6.2,overcast clouds
1470,Puerto Leguizamo,CO,-0.1934,-74.7819,71.71,99,92,1.97,overcast clouds
1471,Santona,ES,43.4439,-3.4576,56.07,92,100,10.69,light rain
1472,Aranda De Duero,ES,41.6704,-3.6892,43.93,86,100,16.8,overcast clouds
1473,Kichmengskiy Gorodok,RU,59.9816,45.7854,16.11,94,100,12.06,light snow
1474,Gravdal,NO,68.1214,13.5031,28.71,56,6,22.79,clear sky
1475,Cervo,ES,43.6702,-7.4101,58.19,85,49,18.41,scattered clouds
1476,Vila,PT,42.0304,-8.1588,47.32,95,100,4.59,overcast clouds
1477,Tabory,RU,58.5198,64.5495,24.98,89,85,5.84,overcast clouds
1478,Medea,DZ,36.2642,2.7539,32.45,84,0,3.83,clear sky
1479,Nanjing,CN,32.0617,118.7778,60.76,21,43,2.51,scattered clouds
1480,Tarata,BO,-17.6167,-66.0167,56.62,75,100,4.63,overcast clouds
1481,Brandon,US,27.9378,-82.2859,64.26,94,90,0.0,fog
1482,Dzhebariki-Khaya,RU,62.2167,135.8,-42.52,95,10,2.24,clear sky
1483,Kankon,IN,15.0167,74.0167,82.11,72,8,4.81,clear sky
1484,Bitung,ID,1.4451,125.1824,86.85,73,100,4.59,overcast clouds
1485,Raudeberg,NO,61.9875,5.1352,35.87,74,96,7.0,overcast clouds
1486,Adeje,ES,28.1227,-16.726,65.97,58,20,1.99,few clouds
1487,Kadoma,JP,34.7333,135.5833,55.45,40,75,11.5,broken clouds
1488,Andros Town,BS,24.7,-77.7667,64.36,65,3,9.69,clear sky
