City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Korla,CN,2021-11-29 21:11:13,41.7597,86.1469,22.66,74,7,5.73
143,Sur,OM,2021-11-29 21:11:13,22.5667,59.5289,72.68,76,0,7.16
144,Anloga,GH,2021-11-29 21:11:13,5.7947,0.8973,82.35,77,64,10.96
145,Jieshi,CN,2021-11-29 21:11:13,22.8134,115.8257,66.04,68,0,11.59
146,Coahuayana,MX,2021-11-29 21:11:14,18.7333,-103.6833,88.68,43,5,6.2
147,Lebu,CL,2021-11-29 21:11:14,-37.6167,-73.65,57.76,75,75,18.3
148,Altamira,BR,2021-11-29 21:11:14,-3.2033,-52.2064,82.04,72,96,1.83
149,Ossora,RU,2021-11-29 21:11:15,59.2353,163.0719,14.36,84,100,4.85
150,Naze,JP,2021-11-29 21:11:15,28.3667,129.4833,66.65,73,92,14.14
151,Ancud,CL,2021-11-29 21:11:15,-41.8697,-73.8203,63.23,65,41,5.23
152,Leningradskiy,RU,2021-11-29 21:11:15,69.3833,178.4167,-21.28,96,69,9.06
153,Hobart,AU,2021-11-29 21:10:30,-42.8794,147.3294,61.02,83,20,1.99
154,Grindavik,IS,2021-11-29 21:11:16,63.8424,-22.4338,34.27,100,90,5.75
155,Fare,PF,2021-11-29 21:11:16,-16.7,-151.0167,80.76,77,100,15.19
156,Kamenka,RU,2021-11-29 21:07:50,51.3223,42.7678,46.74,86,100,30.27
157,Seymchan,RU,2021-11-29 21:11:16,62.8833,152.4333,-15.72,99,100,0.74
158,Aguimes,ES,2021-11-29 21:11:17,27.9054,-15.4461,63.23,64,40,21.85
159,Dicabisagan,PH,2021-11-29 21:11:17,17.0818,122.4157,77.07,88,77,4.74
160,Hami,CN,2021-11-29 21:11:17,42.8,93.45,23.5,58,3,0.29
161,Bengkulu,ID,2021-11-29 21:11:17,-3.8004,102.2655,75.25,87,99,9.6
162,Zhezkazgan,KZ,2021-11-29 21:11:18,47.8043,67.7144,21.43,88,100,3.67
163,Bandarbeyla,SO,2021-11-29 21:11:18,9.4942,50.8122,77.61,71,18,18.86
164,Port Macquarie,AU,2021-11-29 21:11:18,-31.4333,152.9167,69.89,80,97,4.5
165,Tres Arroyos,AR,2021-11-29 21:07:25,-38.3739,-60.2798,68.16,43,0,13.98
166,Taloqan,AF,2021-11-29 21:11:19,36.7361,69.5345,51.04,49,100,2.82
167,Muisne,EC,2021-11-29 21:11:19,0.6,-80.0333,82.51,80,94,11.16
168,Tamsweg,AT,2021-11-29 21:11:19,47.1281,13.811,23.36,96,68,6.87
169,Cesky Tesin,CZ,2021-11-29 21:11:19,49.7461,18.6261,35.11,97,100,6.33
170,Jega,NG,2021-11-29 21:08:12,12.2175,4.3792,77.81,13,6,10.31
171,Hovd,MN,2021-11-29 21:11:20,48.0056,91.6419,15.31,45,0,0.81
172,Ponta Delgada,PT,2021-11-29 21:11:20,37.7333,-25.6667,61.5,63,75,5.75
173,Curumani,CO,2021-11-29 21:11:21,9.1999,-73.5427,84.34,81,100,3.44
174,Nanortalik,GL,2021-11-29 21:11:21,60.1432,-45.2371,33.96,99,100,16.53
175,Avarua,CK,2021-11-29 21:11:21,-21.2078,-159.775,78.85,61,40,13.8
176,Anadyr,RU,2021-11-29 21:11:21,64.75,177.4833,0.1,84,75,0.0
177,Chokurdakh,RU,2021-11-29 21:11:22,70.6333,147.9167,-13.32,99,100,3.67
178,Deputatskiy,RU,2021-11-29 21:11:22,69.3,139.9,-14.37,97,100,4.59
179,Cayenne,GF,2021-11-29 21:12:22,4.9333,-52.3333,82.44,83,20,1.99
180,Cabo San Lucas,MX,2021-11-29 21:12:22,22.8909,-109.9124,86.05,60,40,5.99
181,Konskie,PL,2021-11-29 21:12:23,51.1917,20.4061,35.24,94,100,15.19
182,Muli,MV,2021-11-29 21:12:23,2.9167,73.5667,82.17,74,82,15.77
183,Myre,NO,2021-11-29 21:12:23,69.1036,15.9492,30.11,66,100,15.52
184,Canandaigua,US,2021-11-29 21:12:03,42.8742,-77.288,34.63,70,13,5.01
185,Mayo,US,2021-11-29 21:12:24,38.8876,-76.5119,45.41,53,90,7.0
186,Yar-Sale,RU,2021-11-29 21:12:24,66.8333,70.8333,0.03,97,94,8.59
187,Agde,FR,2021-11-29 21:12:24,43.3108,3.4758,39.45,65,0,8.05
188,Noumea,NC,2021-11-29 21:12:25,-22.2763,166.4572,81.0,99,20,8.99
189,Chebenki,RU,2021-11-29 21:12:25,51.9337,55.7077,15.55,89,92,6.17
190,Yichun,CN,2021-11-29 21:12:25,47.7,128.9,1.47,98,87,0.69
191,Beringovskiy,RU,2021-11-29 21:12:25,63.05,179.3167,6.1,94,100,7.74
192,Grants,US,2021-11-29 21:12:26,35.1473,-107.8514,61.03,23,1,5.75
193,Tongliao,CN,2021-11-29 21:12:26,43.6125,122.2653,13.01,93,78,4.56
194,Bubaque,GW,2021-11-29 21:12:26,11.2833,-15.8333,83.17,63,74,11.32
195,Pevek,RU,2021-11-29 21:12:27,69.7008,170.3133,0.36,97,100,3.13
196,Mill Valley,US,2021-11-29 21:12:27,37.906,-122.545,72.99,64,0,1.99
197,Sisimiut,GL,2021-11-29 21:12:27,66.9395,-53.6735,31.62,91,100,7.76
198,Vestmannaeyjar,IS,2021-11-29 21:12:27,63.4427,-20.2734,36.25,91,100,37.8
