City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1736,Kriel,ZA,72.81,clear sky,-26.2739,29.2253,In Him Guesthouse (Accomodation)
1738,Puerto Morazan,NI,73.98,clear sky,12.8504,-87.1717,Iglesia de Dios de la profecia
1739,Kindu,CD,77.83,overcast clouds,-2.95,25.95,Résidence Okanda
1741,Villa Union,MX,76.01,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
1746,Gouyave,GD,75.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
1750,Libreville,GA,73.42,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
1756,Gravatai,BR,67.87,clear sky,-29.9444,-50.9919,Hotel Gravataí Center
1758,Jhalawar,IN,76.39,clear sky,24.6,76.15,Maan Singh palace Hotel & Resort
1762,Kailaras,IN,75.94,clear sky,26.3167,77.6167,बिश्राम घाट कैलारस
1767,Champoton,MX,71.67,clear sky,19.35,-90.7167,HOTEL Posada La Regia
1772,Chahal,GT,67.51,overcast clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
1777,Narsimhapur,IN,79.12,clear sky,22.95,79.2,Hotel Pratap Palace
1782,Shenzhen,CN,71.85,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
1786,Joao Pinheiro,BR,65.43,scattered clouds,-17.7425,-46.1725,Hotel Santos
1792,Morant Bay,JM,78.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
1793,Pointe Michel,DM,79.29,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
1794,Pimenta Bueno,BR,71.22,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
1796,Brufut,GM,68.09,overcast clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
1798,Itarsi,IN,79.27,clear sky,22.6167,77.75,Hotel Vinayak Residency
1802,Campos Gerais,BR,60.15,few clouds,-21.235,-45.7586,Hotel Paraíso
1804,Carauari,BR,71.98,overcast clouds,-4.8828,-66.8958,Hotel Fellip
1805,Ilebo,CD,77.47,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
1807,Yeban,PH,69.1,overcast clouds,17.022,121.9419,Yeban Sur Benito Soliven Isabela
1808,Tignere,CM,75.81,broken clouds,7.3667,12.65,SADECK
